,ID_hecho,FECHA,AAAA,MM,DD,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO,fecha_incidente_amd,fecha_fallecimiento_amd,Rango_Edad
44,2016-0058,5/4/2016,2016,5,4,PEATON,PEATON,FEMENINO,57.0,5/8/2016,2016-05-04,2016-05-08,50-59
45,2016-0059,5/8/2016,2016,5,8,PEATON,PEATON,MASCULINO,37.0,5/26/2016,2016-05-08,2016-05-26,30-39
46,2016-0064,5/14/2016,2016,5,14,PEATON,PEATON,MASCULINO,20.0,SD,2016-05-14,,18-29
47,2016-0065,5/20/2016,2016,5,20,PEATON,PEATON,MASCULINO,20.0,5/20/2016,2016-05-20,2016-05-20,18-29
48,2016-0067,5/21/2016,2016,5,21,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,30.0,SD,2016-05-21,,30-39
49,2016-0068,5/22/2016,2016,5,22,CONDUCTOR,MOTO,MASCULINO,58.0,SD,2016-05-22,,50-59
50,2016-0069,5/23/2016,2016,5,23,CONDUCTOR,AUTO,MASCULINO,30.0,5/23/2016,2016-05-23,2016-05-23,30-39
51,2016-0073,6/11/2016,2016,6,11,CONDUCTOR,MOTO,MASCULINO,23.0,SD,2016-06-11,,18-29
52,2016-0074,6/12/2016,2016,6,12,CONDUCTOR,AUTO,MASCULINO,60.0,SD,2016-06-12,,60+
53,2016-0075,6/12/2016,2016,6,12,PEATON,PEATON,MASCULINO,42.0,6/12/2016,2016-06-12,2016-06-12,40-49
54,2016-0076,6/13/2016,2016,6,13,PEATON,PEATON,FEMENINO,53.0,6/13/2016,2016-06-13,2016-06-13,50-59
55,2016-0077,6/13/2016,2016,6,13,PEATON,PEATON,FEMENINO,,SD,2016-06-13,,
56,2016-0078,6/13/2016,2016,6,13,CONDUCTOR,MOTO,MASCULINO,30.0,SD,2016-06-13,,30-39
57,2016-0079,6/16/2016,2016,6,16,CONDUCTOR,AUTO,FEMENINO,51.0,SD,2016-06-16,,50-59
58,2016-0080,6/18/2016,2016,6,18,CONDUCTOR,AUTO,MASCULINO,60.0,SD,2016-06-18,,60+
59,2016-0081,6/22/2016,2016,6,22,CONDUCTOR,MOTO,MASCULINO,40.0,SD,2016-06-22,,40-49
60,2016-0082,6/27/2016,2016,6,27,PEATON,PEATON,MASCULINO,87.0,7/5/2016,2016-06-27,2016-07-05,60+
61,2016-0083,6/28/2016,2016,6,28,PEATON,PEATON,FEMENINO,76.0,6/29/2016,2016-06-28,2016-06-29,60+
62,2016-0084,6/29/2016,2016,6,29,PEATON,PEATON,MASCULINO,57.0,7/8/2016,2016-06-29,2016-07-08,50-59
63,2016-0085,6/29/2016,2016,6,29,SD,MOTO,MASCULINO,,SD,2016-06-29,,
64,2016-0086,6/30/2016,2016,6,30,PEATON,PEATON,MASCULINO,75.0,7/1/2016,2016-06-30,2016-07-01,60+
65,2016-0087,7/3/2016,2016,7,3,CONDUCTOR,MOTO,MASCULINO,23.0,7/3/2016,2016-07-03,2016-07-03,18-29
66,2016-0088,7/11/2016,2016,7,11,PEATON,PEATON,FEMENINO,70.0,7/14/2016,2016-07-11,2016-07-14,60+
67,2016-0089,7/14/2016,2016,7,14,PEATON,PEATON,MASCULINO,35.0,7/14/2016,2016-07-14,2016-07-14,30-39
68,2016-0090,7/14/2016,2016,7,14,PEATON,PEATON,MASCULINO,60.0,7/15/2016,2016-07-14,2016-07-15,60+
69,2016-0092,7/15/2016,2016,7,15,CONDUCTOR,MOTO,MASCULINO,24.0,7/15/2016,2016-07-15,2016-07-15,18-29
70,2016-0093,7/17/2016,2016,7,17,CONDUCTOR,AUTO,MASCULINO,35.0,7/19/2016,2016-07-17,2016-07-19,30-39
71,2016-0095,7/23/2016,2016,7,23,CONDUCTOR,MOTO,MASCULINO,29.0,7/23/2016,2016-07-23,2016-07-23,18-29
72,2016-0096,7/25/2016,2016,7,25,CONDUCTOR,MOTO,MASCULINO,,SD,2016-07-25,,
